,userId,user_vector,avg_rating,num_movies_rated
0,1,"[4.40298507 4.66666667 4.48571429 4.265625   4.26470588 4.3
 4.52459016 4.30434783 4.32432432 4.15555556 3.30769231 4.0625
 4.2        4.55       4.64705882 0.         0.         4.
 5.         0.        ]",4.365591397849462,186
1,2,"[4.16666667 0.         0.         4.         0.         4.5
 4.         3.95454545 4.         3.88888889 3.         4.
 3.875      4.5        0.         5.         3.75       3.5
 0.         0.        ]",4.021739130434782,23
2,3,"[2.44444444 0.5        0.5        1.0625     3.375      0.5
 0.86363636 3.70833333 0.5        4.7        4.6875     5.
 4.5        0.5        0.         0.         0.         0.
 0.         0.        ]",2.564516129032258,31
3,4,"[3.54545455 3.8        3.66666667 3.57471264 3.5        3.36956522
 3.46875    3.14285714 3.82608696 3.4137931  4.25       3.31578947
 2.83333333 3.33333333 3.85714286 4.         3.         3.85714286
 3.5        0.        ]",3.520231213872832,173
4,5,"[3.         4.5        4.16666667 3.23076923 4.         2.88888889
 3.70588235 3.         3.72727273 3.375      3.         4.
 2.5        3.         4.66666667 0.         4.         1.
 0.         0.        ]",3.5142857142857142,35
5,6,"[3.87804878 4.15384615 3.75675676 3.36633663 3.53846154 3.64150943
 3.63793103 3.68       3.42857143 3.49090909 3.21428571 3.53846154
 3.55555556 3.63636364 4.16666667 0.         4.66666667 3.77777778
 2.5        0.        ]",3.50199203187251,251
6,7,"[3.45348837 3.5        3.15       3.275      3.075      2.76086957
 3.15957447 3.27358491 3.21428571 3.31818182 3.75       3.16666667
 3.2        3.27777778 4.16666667 0.         2.45454545 1.5
 3.5        0.        ]",3.2704918032786887,122
7,8,"[3.77777778 5.         4.25       3.3        3.25       3.5
 3.76470588 3.2        3.88888889 3.76923077 4.5        4.5
 3.         3.         5.         0.         4.5        5.
 0.         0.        ]",3.6315789473684212,38
8,9,"[3.66666667 4.         4.         3.63636364 5.         3.16666667
 3.55555556 3.         3.14285714 2.7        1.75       4.
 2.83333333 3.         0.         0.         3.         4.
 4.         0.        ]",3.2972972972972974,37
9,10,"[3.58333333 3.77272727 3.4        3.2        3.33333333 3.33064516
 3.18867925 3.52272727 3.05555556 3.29166667 3.         3.
 2.         3.83333333 3.08333333 0.         3.5        0.
 0.         0.        ]",3.2589285714285716,112
10,11,"[3.69230769 0.         0.         3.6        0.         4.16666667
 4.21052632 3.56756757 3.90909091 3.68965517 5.         4.
 3.28571429 4.2        0.         0.         5.         3.
 0.         0.        ]",3.803921568627451,51
11,12,"[3.         3.         0.         4.23076923 4.25       4.60526316
 4.64285714 5.         3.         4.25       0.         0.
 4.25       4.5        0.         0.         0.         0.
 0.         0.        ]",4.423076923076923,26
12,13,"[4.         0.         0.         3.125      3.         3.8
 3.58333333 4.11111111 3.         3.77777778 4.         4.5
 4.2        3.5        0.         0.         0.         4.
 0.         0.        ]",3.6,25
13,14,"[3.28571429 0.         3.         2.6        1.         3.4
 3.57894737 3.         2.5        3.4        4.         4.5
 3.5        3.5        4.         0.         4.         4.
 0.         0.        ]",3.263157894736842,38
14,15,"[3.31818182 3.05882353 2.73529412 3.54347826 3.16666667 4.09090909
 3.73958333 3.11363636 3.7        3.45945946 4.         3.6875
 3.55434783 3.875      2.66666667 0.         3.28125    2.5
 0.         0.        ]",3.5,108
15,16,"[3.75       4.         4.         3.71428571 3.95454545 3.65
 3.74324324 3.38888889 3.75       3.7173913  3.5        3.77272727
 3.72727273 3.66666667 0.         4.         0.         3.
 4.         0.        ]",3.7051282051282053,78
16,17,"[4.25925926 4.4375     4.25       4.16666667 4.35714286 4.
 4.17777778 4.17241379 4.24       4.2826087  4.25       4.07142857
 4.36666667 4.44444444 4.         3.5        4.1        4.1
 3.5        0.        ]",4.190476190476191,84
17,18,"[3.64166667 3.76785714 3.58064516 3.516      3.65116279 3.675
 3.86280488 3.55487805 3.91262136 3.77559055 3.23076923 4.03333333
 3.60638298 3.91666667 3.66666667 3.9375     3.66666667 4.16666667
 4.         0.        ]",3.7176616915422884,402
18,19,"[2.84251969 2.94594595 2.68674699 2.65460526 2.87012987 2.66666667
 2.63934426 2.725      2.89285714 2.54938272 2.27058824 2.95238095
 2.57692308 3.125      2.77419355 0.         3.         2.4
 3.         0.        ]",2.617437722419929,562
19,20,"[3.34375    4.21428571 3.90116279 3.68390805 3.85135135 4.03030303
 3.79245283 2.76315789 3.175      2.81481481 3.22222222 3.28571429
 3.13333333 3.33333333 4.47727273 3.75       4.5        1.5
 0.         0.        ]",3.5902061855670104,194
20,21,"[3.72727273 3.3125     3.15384615 3.19642857 3.09183673 3.27358491
 3.02       3.50555556 3.20338983 3.6        1.85714286 3.25
 3.43902439 3.66666667 2.69230769 0.         3.65217391 4.
 3.         4.        ]",3.2838983050847457,354
21,22,"[2.26315789 2.8125     2.875      2.33928571 1.5        2.14705882
 2.60655738 2.95833333 2.7826087  2.82142857 2.25       2.8
 2.         2.25       4.5        2.         1.75       4.
 4.5        0.        ]",2.5789473684210527,95
22,23,"[3.35714286 3.78571429 3.5        3.34090909 3.81818182 3.31818182
 3.66129032 3.54761905 3.609375   3.74242424 4.         4.11764706
 3.90625    3.8        0.         3.5        3.         3.25
 3.95       0.        ]",3.654639175257732,97
23,24,"[3.66071429 4.25       4.25       3.59459459 3.67857143 3.63461538
 3.75       3.62222222 3.91176471 3.59259259 3.66666667 3.8
 3.64285714 3.66666667 0.         0.         3.85       0.
 0.         0.        ]",3.664772727272727,88
